И,8689
В,4770
НЕ,4732
ЧТО,3816
Я,3471
С,2690
ОН,2495
НА,2366
ТО,1974
НО,1882
ВЫ,1807
КАК,1759
А,1730
ЭТО,1443
ЖЕ,1274
ЕГО,1267
ТАК,1157
К,1128
ВСЁ,982
ОНА,961
ПО,943
У,929
ЗА,922
БЫ,891
О,867
БЫЛО,794
ИЗ,764
ТОЛЬКО,763
ЕЩЕ,750
МНЕ,686
МЕНЯ,685
ДАЖЕ,681
ДА,680
ВАС,675
УЖЕ,636
ВСЕ,629
ФР,620
ОТ,618
ЕЕ,617
ВДРУГ,592
БЫЛ,569
ЕСЛИ,568
ВАМ,541
ТЕПЕРЬ,532
БЫТЬ,498
ДО,482
ЛИ,457
ВОТ,422
ОЧЕНЬ,421
ТУТ,412
ПЕТР,401
КОГДА,399
ЕСТЬ,396
ЕМУ,387
СТЕПАНОВИЧ,386
СЕБЯ,384
НЕТ,381
ДЛЯ,375
НИ,370
МОЖЕТ,365
НИБУДЬ,364
НИЧЕГО,352
МЫ,352
ИЛИ,347
НЕГО,345
ОПЯТЬ,343
ВЕДЬ,341
НУ,339
СТЕПАН,335
ТРОФИМОВИЧ,331
ПОТОМУ,324
ЧЕМ,319
ЧТОБЫ,317
УЖ,314
ТЫ,309
ТОГО,302
СОВСЕМ,298
БЕЗ,293
РАЗ,290
ВО,285
ОНИ,285
ЧЕЛОВЕК,280
НАКОНЕЦ,277
НАДО,276
ШАТОВ,275
ИХ,275
САМ,274
ВАРВАРА,265
ПЕТРОВНА,265
ТЕМ,263
СО,260
ТОЖЕ,260
ЭТОТ,246
НИКОЛАЙ,245
БЫЛА,244
ВПРОЧЕМ,242
ТОГДА,239
ВСЕВОЛОДОВИЧ,238
ВСЕХ,236
ПОЧТИ,234
БОЛЕЕ,230
БУДЕТ,228
НАС,226
ОДИН,225
ВРЕМЯ,224
ТОТЧАС,220
ТОТ,220
ЧЕГО,215
ВСЕГО,213
КТО,210
ЕЙ,206
ПРО,204
ПРЕД,203
ТАМ,201
ПОД,200
БЫЛИ,199
ЗНАЕТЕ,197
НЕСКОЛЬКО,196
СЕБЕ,196
ЭТОГО,193
ХОТЯ,193
НИМ,190
ПРИ,189
КАКОЙ,189
МОГ,189
ИМЕННО,189
ЭТОМ,188
КАЖЕТСЯ,186
ВСЮ,185
ЗНАЮ,183
ЛЕТ,181
НИКОГДА,180
ЗДЕСЬ,180
ВСЕГДА,179
ПОСЛЕ,173
ЭТИ,172
СЕЙЧАС,172
ЛИПУТИН,171
ДОВОЛЬНО,167
КИРИЛЛОВ,165
ГДЕ,165
СЛИШКОМ,164
ДВА,162
МОЙ,162
ДЕЛО,160
ПОЧЕМУ,160
СТАВРОГИН,158
ВСЕМ,157
МОЖНО,156
ТАКИ,155
ХОТЬ,155
ПОТОМ,155
СОВЕРШЕННО,155
КОНЕЧНО,154
ТОМ,153
НЕЙ,153
МНОГО,152
ТРИ,151
ЛИШЬ,151
САМИ,151
ОДНАКО,149
ПРАВДА,148
МЕЖДУ,147
ВЕСЬ,144
ОБ,139
ЧТОБ,138
СКАЗАТЬ,137
ЛЕМБКЕ,136
ЧУТЬ,129
МОГУ,129
БУДТО,129
ВОВСЕ,127
СВОЮ,127
СТАЛО,126
СЛОВА,126
ТЕБЯ,126
НИХ,125
ДРУГ,125
УЖАСНО,125
БОЛЬШЕ,123
РАЗУМЕЕТСЯ,120
ЖИЗНЬ,118
САМА,118
МИНУТУ,118
ШАТОВА,117
ХОРОШО,117
СТЕПАНА,116
ДЕНЬ,116
НЕЕ,115
НЕПРЕМЕННО,115
ОДНО,114
ТРОФИМОВИЧА,114
ГОВОРИЛ,113
ЛИЗА,112
ГЛАЗА,111
РУКУ,110
ЭТУ,110
СВОЕЙ,110
МЫСЛЬ,109
ХОЧУ,109
ЧЕЛОВЕКА,108
САМОМ,108
ЭТА,108
СТАЛ,107
ПРЕЖДЕ,107
ЛИЦО,106
СВОЕГО,106
ЛУЧШЕ,105
ВАМИ,105
КОТОРЫЙ,104
ПРЯМО,102
ТОЧНО,102
НИКТО,102
ВСЯ,100
ХОТЕЛ,100
ЮЛИЯ,99
МЕРЕ,99
МИХАЙЛОВНА,98
НЕМУ,98
ОСОБЕННО,98
ОДНА,98
РАВНО,97
ДРУГОЙ,97
ИМ,96
ДАВНО,96
САМОГО,95
КРАЙНЕЙ,94
ЧЕРЕЗ,94
ЗНАЛ,94
НЕСМОТРЯ,93
ВОПРОС,93
НАМ,93
ТАКОЙ,93
ТОМУ,92
ПОР,92
ЗАВТРА,91
ЗНАЕТ,91
ГОВОРИТЬ,91
НЕМ,90
РУКИ,90
ПЕРВЫЙ,89
ЗАМЕТИЛ,89
НЕЛЬЗЯ,88
КО,87
НАЗАД,87
ХОТИТЕ,87
ГОСПОДИН,87
СВОИМ,87
МАЛО,87
МАВРИКИЙ,87
ЭТОЙ,86
ДЕЙСТВИТЕЛЬНО,86
ТАКИМ,86
НАД,86
СВОЙ,85
ПРОГОВОРИЛ,85
233,84
ПРОСТО,84
ОДНОГО,84
КАПИТАН,83
НЕЮ,83
ОДНИМ,83
СКАЗАЛ,83
ЧРЕЗВЫЧАЙНО,83
ПОНИМАЮ,82
ДНЯ,82
КУДА,82
ВМЕСТЕ,82
НИКОЛАЕВИЧ,81
БОГ,81
БЫСТРО,81
КРОМЕ,81
НАПРОТИВ,80
ТЕБЕ,80
ЮЛИИ,80
ЗАЧЕМ,80
ГЛАВНОЕ,79
ПУСТЬ,79
ЗАТЕМ,78
ДЕЛЕ,78
НАЧАЛ,78
ТА,77
БОГА,77
ТАКОЕ,77
ЛЕБЯДКИН,76
СЕГОДНЯ,76
КАКАЯ,76
ПОЖАЛУЙ,75
ДЕНЬГИ,75
ET,75
ВАШЕ,75
СВОИ,75
ЧЕРТ,74
ВИДОМ,74
ГОЛОВУ,74
ГОДА,74
ИНОГДА,73
ВЧЕРА,73
ПРОШУ,73
ПЕТРА,73
ГОСПОДА,73
ВСКРИЧАЛ,73
СВОИХ,72
СТЕПАНОВИЧА,72
КАКИМ,71
ГОВОРЯТ,71
ПИСЬМО,71
ПОКА,71
КОТОРОГО,71
КАРМАЗИНОВ,70
MARIE,70
ДВЕ,70
ГОВОРИТ,69
ГОЛОС,69
КАКИЕ,69
МНОЙ,68
СОБОЮ,68
СИХ,68
ВЕСЬМА,68
БУДУ,68
ВАШ,67
ГОВОРИЛИ,67
Ж,67
ОДНОЙ,67
ПЕТРОВНЫ,67
ГОРОДЕ,67
ДОМЕ,67
ВАРВАРЫ,67
ЧАСОВ,66
ОБРАЗОМ,66
МОЖЕТЕ,66
СВОЕМ,66
РАЗВЕ,66
КАКОЕ,66
СДЕЛАТЬ,66
МОЕ,66
ВЕРХОВЕНСКИЙ,65
КОТОРЫЕ,65
ДАВЕЧА,65
САМЫЙ,65
ВЫШЕЛ,65
ДОЛЖНО,64
СЛОВО,64
ДЕЛА,64
ЖИЗНИ,64
ВИДИТЕ,64
НАРОД,64
РУБЛЕЙ,64
СЛОВОМ,63
ГОВОРЮ,63
АХ,63
ЛЮДИ,62
НАРОЧНО,62
МЕСТО,61
ПЯТЬ,61
ДВЕРЬ,61
Б,61
СЛУЧАЕ,61
КОГО,61
НЕЧТО,61
ТУ,61
МЕСТА,60
РУКАМИ,60
ВИДЕ,60
ПЕТЕРБУРГЕ,60
НИКОЛАЯ,60
ДЕСЯТЬ,60
ПРОБОРМОТАЛ,60
ФОН,60
ДВАДЦАТЬ,59
СПРОСИЛ,59
NICOLAS,59
ДУМАЮ,59
СТОРОНЫ,59
СТАВРОГИНА,59
КОТОРОЙ,59
МОЮ,58
МОЕЙ,58
САМОЙ,58
ДОМА,58
ЗНАЧИТ,58
СВОЕ,57
НОЧЬ,57
МОЕМУ,57
ИЗВЕСТНО,57
ЭТИХ,57
ВРЕМЕНИ,57
VOUS,57
НИКАК,57
МОЯ,57
DE,57
ВИД,56
МОГЛИ,56
НАВЕРНО,56
ЕДИНСТВЕННО,55
КАЖДЫЙ,55
ДОЛГО,55
232,55
СЕРЬЕЗНО,55
НАШ,55
ВИЖУ,55
ВАШЕГО,54
ВСЕВОЛОДОВИЧА,54
МГНОВЕНИЕ,54
СУДАРЫНЯ,54
СКОРО,54
ВООБЩЕ,54
САМЫХ,54
ТЕХ,53
КОМНАТЕ,53
САМОЕ,53
РУКОЙ,53
БОЖЕ,53
ГЛАЗАМИ,53
ЛЯМШИН,53
НАШЕГО,53
ОДНУ,52
СКОЛЬКО,52
КОТОРЫХ,52
ЧЕТЫРЕ,52
КОМНАТЫ,52
ВЗДОР,52
ТАКОГО,52
МИНУТЫ,52
МИХАЙЛОВНЫ,52
СТЕПАНУ,52
ВЗЯЛ,52
ЛЮДЕЙ,52
ДУМАЛ,51
ТРОФИМОВИЧУ,51
ПОЗВОЛЬТЕ,51
ВИДЕЛ,51
КОТОРУЮ,51
ВСЕЙ,51
ВИРГИНСКИЙ,50
МОГЛА,50
ПЕТРОВНЕ,50
ДОМ,50
СТОЯЛ,50
ТЕ,50
ВПЕРЕД,50
АНДРЕЙ,50
ИЗО,50
НЕУЖЕЛИ,50
АНТОНОВИЧ,50
ЗНАТЬ,49
НАШИХ,49
ПОСМОТРЕЛ,49
ПРАВО,49
КОЛИ,49
КРИКНУЛ,49
ДОЛЖЕН,49
НАШИ,49
ДНЕЙ,49
СЕРДЦЕ,49
НИМИ,49
МОГЛО,48
МОИ,48
ОСТАНОВИЛСЯ,48
БОЛЬШОЙ,48
ВАРВАРЕ,48
ТАКИХ,48
НАШЕЙ,48
ПОДЛЕ,48
КОТОРОМ,47
НАПРИМЕР,47
ГОРОД,47
ВСЯКИЙ,47
КАКОГО,47
ПОМНЮ,46
ВАШИ,46
СКАЖУ,46
РУКАХ,46
КИРИЛЛОВА,46
РОССИИ,46
ПРАСКОВЬЯ,46
КАЗАЛОСЬ,46
ПЕРВОГО,46
СЛУШАЙТЕ,46
ТАКИЕ,46
ИМЕЛ,45
УЗНАЛ,45
ВАШУ,45
СТРАННО,45
МЫСЛИ,45
ЭТИМ,45
ГОЛОСОМ,45
ДРУГА,44
ГОВОРИТЕ,44
СНАЧАЛА,44
ЧАС,44
ВИДИМО,44
СЮДА,44
ИБО,44
КАКУЮ,44
ДОМОЙ,44
ПОСЛЕДНЕЕ,44
НАЧАЛА,44
ЧЕМУ,44
СТОЛЬКО,43
УГЛУ,43
САМЫМ,43
СТАЛИ,43
ОДНОМ,43
БУДУТ,43
ВЕРОЯТНО,43
ОБА,43
МИГОМ,43
СОБОЙ,43
КСТАТИ,43
ОТВЕТИЛ,42
ВЗГЛЯДОМ,42
ПОНИМАЕТЕ,42
ПРОДОЛЖАЛ,42
КОТОРОЕ,42
МЕСТЕ,42
ЯСНО,42
ЭРКЕЛЬ,42
НИКОГО,41
МОЛЧА,41
ТАКОМ,41
НАСЧЕТ,41
ДАМ,41
РОДЕ,41
АЛЕКСЕЙ,41
КОТОРЫМ,41
ХА,41
РАЗА,41
